start time,request type (ie POST),latency,response code
1606517380028,GET,22201,200
1606517402229,GET,26700,200
1606517428929,GET,22827,200
1606517451756,GET,28556,200
1606517480312,GET,25218,200
1606517505530,GET,23581,200
1606517529111,GET,26613,200
1606517555724,GET,25801,200
1606517581525,GET,25602,200
1606517607127,GET,14830,200
1606517340263,GET,24947,200
1606517365210,GET,25851,200
1606517391061,GET,24866,200
1606517415927,GET,22827,200
1606517438754,GET,24472,200
1606517463226,GET,22208,200
1606517485434,GET,25447,200
1606517510881,GET,25686,200
1606517536567,GET,24513,200
1606517561080,GET,26767,200
1606517446830,GET,25186,200
1606517472016,GET,25872,200
1606517497888,GET,27143,200
1606517525031,GET,23094,200
1606517548125,GET,25270,200
1606517573395,GET,26165,200
1606517599560,GET,18342,200
1606517617902,GET,8832,200
1606517626734,GET,5779,200
1606517632513,GET,4889,200
1606517388151,GET,24647,200
1606517412798,GET,25252,200
1606517438050,GET,24746,200
1606517462796,GET,22298,200
1606517485094,GET,23529,200
1606517508623,GET,26752,200
1606517535375,GET,25073,200
1606517560448,GET,26844,200
1606517587292,GET,22210,200
1606517609502,GET,13617,200
1606517352581,GET,24728,200
1606517377309,GET,24026,200
1606517401335,GET,22995,200
1606517424330,GET,26501,200
1606517450831,GET,23067,200
1606517473898,GET,26809,200
1606517500707,GET,25981,200
1606517526688,GET,23574,200
1606517550262,GET,26195,200
1606517576457,GET,25426,200
1606517349446,GET,24032,200
1606517373478,GET,22133,200
1606517395611,GET,22501,200
1606517418112,GET,24408,200
1606517442520,GET,22438,200
1606517464958,GET,27240,200
1606517492198,GET,24960,200
1606517517158,GET,24680,200
1606517541838,GET,26337,200
1606517568175,GET,23032,200
1606517650013,GET,3383,200
1606517653396,GET,2400,200
1606517655796,GET,2180,200
1606517657976,GET,1980,200
1606517659956,GET,1146,200
1606517661102,GET,1039,200
1606517662141,GET,807,200
1606517662948,GET,803,200
1606517663751,GET,856,200
1606517664607,GET,809,200
1606517351377,GET,24133,200
1606517375510,GET,23101,200
1606517398611,GET,23827,200
1606517422438,GET,23212,200
1606517445650,GET,25985,200
1606517471635,GET,24989,200
1606517496624,GET,24331,200
1606517520955,GET,26937,200
1606517547892,GET,24980,200
1606517572872,GET,26157,200
1606517581896,GET,25613,200
1606517607509,GET,14538,200
1606517622047,GET,7387,200
1606517629434,GET,5032,200
1606517634466,GET,4624,200
1606517639090,GET,4221,200
1606517643311,GET,3972,200
1606517647283,GET,3572,200
1606517650855,GET,3143,200
1606517653998,GET,2317,200
1606517337074,GET,22575,200
1606517359649,GET,21475,200
1606517381124,GET,27768,200
1606517408892,GET,22977,200
1606517431869,GET,27351,200
1606517459220,GET,24508,200
1606517483728,GET,22644,200
1606517506372,GET,25776,200
1606517532148,GET,25643,200
1606517557791,GET,24417,200
1606517373399,GET,21859,200
1606517395258,GET,22663,200
1606517417921,GET,24395,200
1606517442316,GET,22450,200
1606517464766,GET,25470,200
1606517490236,GET,24843,200
1606517515079,GET,24776,200
1606517539855,GET,27672,200
1606517567527,GET,23063,200
1606517590590,GET,20714,200
1606517378060,GET,23442,200
1606517401502,GET,25363,200
1606517426865,GET,24280,200
1606517451145,GET,26099,200
1606517477244,GET,26484,200
1606517503728,GET,23346,200
1606517527074,GET,25961,200
1606517553035,GET,26113,200
1606517579148,GET,24150,200
1606517603298,GET,16518,200
1606517351940,GET,23730,200
1606517375670,GET,22424,200
1606517398094,GET,24177,200
1606517422271,GET,22395,200
